task,round,global_round,method,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss,avg_acc
0,1,1,SPCIL-FL,94.58,94.58,40.0,98.54,94.58,30.79,94.58,94.58,30.15,96.18,1.527497,94.58
0,2,2,SPCIL-FL,99.19,99.19,50.46,99.27,99.19,42.94,99.19,99.19,43.86,99.17,1.004294,96.885
0,3,3,SPCIL-FL,99.63,99.63,61.43,99.53,99.63,49.31,99.63,99.63,51.49,99.52,0.37016,97.8
0,4,4,SPCIL-FL,99.64,99.64,61.53,99.61,99.64,49.48,99.64,99.64,47.66,99.49,0.128405,98.26
0,5,5,SPCIL-FL,99.64,99.64,61.19,99.63,99.64,49.31,99.64,99.64,46.52,99.49,0.063727,98.536
0,6,6,SPCIL-FL,99.64,99.64,60.94,99.63,99.64,49.39,99.64,99.64,46.37,99.49,0.068244,98.72
0,7,7,SPCIL-FL,99.64,99.64,44.14,99.36,99.64,49.48,99.64,99.64,46.3,99.49,0.058526,98.8514
0,8,8,SPCIL-FL,99.64,99.64,60.74,99.64,99.64,49.46,99.64,99.64,46.26,99.49,0.067112,98.95
0,9,9,SPCIL-FL,99.65,99.65,43.97,99.37,99.65,49.55,99.65,99.65,46.21,99.49,0.054582,99.0278
0,10,10,SPCIL-FL,99.64,99.64,43.35,99.38,99.64,49.68,99.64,99.64,45.78,99.5,0.08053,99.089
0,11,11,SPCIL-FL,99.64,99.64,43.06,99.39,99.64,49.7,99.64,99.64,45.56,99.5,0.078127,99.1391
0,12,12,SPCIL-FL,99.64,99.64,43.1,99.39,99.64,49.77,99.64,99.64,45.61,99.5,0.070693,99.1808
0,13,13,SPCIL-FL,99.64,99.64,42.97,99.39,99.64,49.78,99.64,99.64,45.52,99.5,0.118818,99.2162
0,14,14,SPCIL-FL,99.64,99.64,43.15,99.39,99.64,49.74,99.64,99.64,45.64,99.5,0.112325,99.2464
0,15,15,SPCIL-FL,99.64,99.64,43.25,99.39,99.64,49.72,99.64,99.64,45.71,99.5,0.137251,99.2727
0,16,16,SPCIL-FL,99.64,99.64,43.65,99.38,99.64,49.68,99.64,99.64,46.0,99.5,0.119564,99.2956
0,17,17,SPCIL-FL,99.65,99.65,43.57,99.38,99.65,49.72,99.65,99.65,45.96,99.5,0.103776,99.3165
0,18,18,SPCIL-FL,99.65,99.65,43.82,99.37,99.65,49.66,99.65,99.65,46.13,99.5,0.13358,99.335
0,19,19,SPCIL-FL,99.65,99.65,43.49,99.38,99.65,49.72,99.65,99.65,45.9,99.5,0.088643,99.3516
0,20,20,SPCIL-FL,99.65,99.65,43.91,99.37,99.65,49.65,99.65,99.65,46.19,99.5,0.136415,99.3665
0,21,21,SPCIL-FL,99.65,99.65,43.83,99.37,99.65,49.63,99.65,99.65,46.13,99.5,0.08786,99.38
0,22,22,SPCIL-FL,99.65,99.65,44.09,99.36,99.65,49.57,99.65,99.65,46.29,99.49,0.077679,99.3923
0,23,23,SPCIL-FL,99.65,99.65,44.54,99.35,99.65,49.53,99.65,99.65,46.6,99.49,0.080822,99.4035
0,24,24,SPCIL-FL,99.65,99.65,43.96,99.37,99.65,49.63,99.65,99.65,46.22,99.5,0.096917,99.4138
0,25,25,SPCIL-FL,99.64,99.64,44.07,99.36,99.64,49.55,99.64,99.64,46.28,99.49,0.084798,99.4228
0,26,26,SPCIL-FL,99.65,99.65,44.07,99.36,99.65,49.61,99.65,99.65,46.29,99.49,0.085173,99.4315
0,27,27,SPCIL-FL,99.65,99.65,44.17,99.36,99.65,49.54,99.65,99.65,46.34,99.49,0.077506,99.4396
0,28,28,SPCIL-FL,99.65,99.65,44.34,99.36,99.65,49.53,99.65,99.65,46.46,99.49,0.068154,99.4471
0,29,29,SPCIL-FL,99.65,99.65,44.09,99.37,99.65,49.6,99.65,99.65,46.31,99.5,0.061281,99.4541
0,30,30,SPCIL-FL,99.65,99.65,44.11,99.36,99.65,49.58,99.65,99.65,46.31,99.49,0.065131,99.4607
