task,round,global_round,method,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss,avg_acc
0,1,1,AFSIC-IDS,42.3,42.3,58.64,77.33,42.3,57.75,42.3,42.3,44.22,27.75,1.400845,42.3
0,2,2,AFSIC-IDS,92.6,92.6,63.94,95.42,92.6,73.87,92.6,92.6,65.2,93.67,1.161425,67.45
0,3,3,AFSIC-IDS,96.31,96.31,69.01,98.1,96.31,77.19,96.31,96.31,69.22,96.94,1.103209,77.07
0,4,4,AFSIC-IDS,96.33,96.33,68.8,98.11,96.33,75.66,96.33,96.33,68.89,96.96,1.07318,81.885
0,5,5,AFSIC-IDS,96.34,96.34,68.74,98.12,96.34,75.22,96.34,96.34,68.78,96.97,1.031222,84.776
0,6,6,AFSIC-IDS,96.26,96.26,68.63,98.11,96.26,75.03,96.26,96.26,68.55,96.9,0.997942,86.69
0,7,7,AFSIC-IDS,96.21,96.21,68.56,98.13,96.21,74.86,96.21,96.21,68.39,96.86,0.970714,88.05
0,8,8,AFSIC-IDS,96.2,96.2,68.58,98.14,96.2,74.87,96.2,96.2,68.35,96.86,0.94956,89.0688
0,9,9,AFSIC-IDS,96.19,96.19,68.52,98.14,96.19,74.63,96.19,96.19,68.23,96.84,0.930733,89.86
0,10,10,AFSIC-IDS,96.11,96.11,68.44,98.14,96.11,74.57,96.11,96.11,68.03,96.78,0.926242,90.485
0,11,11,AFSIC-IDS,96.05,96.05,68.36,98.13,96.05,74.45,96.05,96.05,67.86,96.73,0.92271,90.9909
0,12,12,AFSIC-IDS,96.06,96.06,68.41,98.13,96.06,74.8,96.06,96.06,67.91,96.71,0.916684,91.4133
0,13,13,AFSIC-IDS,95.12,95.12,67.79,97.17,95.12,67.48,95.12,95.12,62.71,95.59,0.91199,91.6985
0,14,14,AFSIC-IDS,94.79,94.79,67.46,96.88,94.79,65.24,94.79,94.79,60.47,95.15,0.897069,91.9193
0,15,15,AFSIC-IDS,94.6,94.6,67.0,96.61,94.6,63.6,94.6,94.6,58.16,94.77,0.88228,92.098
0,16,16,AFSIC-IDS,94.79,94.79,67.44,96.79,94.79,64.82,94.79,94.79,59.62,95.04,0.852364,92.2662
0,17,17,AFSIC-IDS,94.78,94.78,67.54,96.75,94.78,64.41,94.78,94.78,59.07,94.97,0.823045,92.4141
0,18,18,AFSIC-IDS,96.21,96.21,68.7,98.21,96.21,75.73,96.21,96.21,68.27,96.8,0.791895,92.625
0,19,19,AFSIC-IDS,96.36,96.36,68.88,98.26,96.36,76.08,96.36,96.36,68.68,96.93,0.766084,92.8216
0,20,20,AFSIC-IDS,96.35,96.35,68.89,98.25,96.35,76.11,96.35,96.35,68.67,96.91,0.745928,92.998
0,21,21,AFSIC-IDS,96.46,96.46,69.18,98.29,96.46,76.2,96.46,96.46,68.95,97.0,0.725022,93.1629
0,22,22,AFSIC-IDS,96.52,96.52,69.32,98.28,96.52,76.32,96.52,96.52,69.15,97.03,0.710809,93.3155
0,23,23,AFSIC-IDS,96.5,96.5,69.37,98.21,96.5,76.26,96.5,96.5,69.18,96.98,0.697851,93.4539
0,24,24,AFSIC-IDS,96.73,96.73,69.64,98.32,96.73,76.71,96.73,96.73,69.74,97.19,0.669712,93.5904
0,25,25,AFSIC-IDS,96.61,96.61,69.74,98.12,96.61,76.33,96.61,96.61,69.64,97.01,0.65629,93.7112
0,26,26,AFSIC-IDS,96.64,96.64,69.73,98.18,96.64,76.5,96.64,96.64,69.67,97.05,0.642925,93.8238
0,27,27,AFSIC-IDS,96.47,96.47,69.77,97.99,96.47,76.06,96.47,96.47,69.4,96.82,0.633067,93.9219
0,28,28,AFSIC-IDS,96.52,96.52,69.89,97.97,96.52,76.16,96.52,96.52,69.61,96.85,0.611805,94.0146
0,29,29,AFSIC-IDS,96.53,96.53,70.07,97.85,96.53,76.13,96.53,96.53,69.85,96.8,0.602716,94.1014
0,30,30,AFSIC-IDS,96.16,96.16,69.7,97.68,96.16,75.5,96.16,96.16,68.91,96.44,0.597277,94.17
1,1,31,AFSIC-IDS,94.2,94.2,63.06,96.16,94.2,70.17,94.2,94.2,61.94,94.91,1.73619,94.171
1,2,32,AFSIC-IDS,93.83,93.83,62.84,96.12,93.83,70.34,93.83,93.83,61.61,94.67,1.692643,94.1603
1,3,33,AFSIC-IDS,77.82,77.82,59.4,87.52,77.82,63.41,77.82,77.82,52.19,72.53,1.638812,93.6652
1,4,34,AFSIC-IDS,77.67,77.67,59.28,87.09,77.67,63.18,77.67,77.67,52.16,72.04,1.572596,93.1947
1,5,35,AFSIC-IDS,77.84,77.84,59.54,86.8,77.84,62.99,77.84,77.84,52.54,71.99,1.499624,92.756
1,6,36,AFSIC-IDS,77.95,77.95,55.9,76.7,77.95,62.73,77.95,77.95,53.43,72.06,1.429469,92.3447
1,7,37,AFSIC-IDS,78.04,78.04,56.93,77.0,78.04,62.42,78.04,78.04,54.07,72.18,1.366073,91.9581
1,8,38,AFSIC-IDS,78.1,78.1,57.93,78.27,78.1,62.06,78.1,78.1,54.23,72.31,1.310126,91.5934
1,9,39,AFSIC-IDS,78.2,78.2,58.97,79.81,78.2,61.96,78.2,78.2,54.35,72.51,1.261188,91.25
1,10,40,AFSIC-IDS,78.27,78.27,59.64,80.77,78.27,61.83,78.27,78.27,54.38,72.67,1.223927,90.9255
1,11,41,AFSIC-IDS,78.36,78.36,60.16,81.65,78.36,61.79,78.36,78.36,54.39,72.86,1.197964,90.619
1,12,42,AFSIC-IDS,78.4,78.4,60.26,82.03,78.4,61.62,78.4,78.4,54.24,72.95,1.17714,90.3281
1,13,43,AFSIC-IDS,78.44,78.44,60.36,82.36,78.44,61.51,78.44,78.44,54.15,73.04,1.160087,90.0516
1,14,44,AFSIC-IDS,78.47,78.47,60.32,82.51,78.47,61.4,78.47,78.47,54.05,73.09,1.14468,89.7884
1,15,45,AFSIC-IDS,78.48,78.48,60.28,82.61,78.48,61.29,78.48,78.48,53.96,73.12,1.129339,89.5371
1,16,46,AFSIC-IDS,78.51,78.51,60.33,82.81,78.51,61.29,78.51,78.51,53.96,73.18,1.115592,89.2974
1,17,47,AFSIC-IDS,78.53,78.53,60.35,82.96,78.53,61.22,78.53,78.53,53.92,73.23,1.102866,89.0683
1,18,48,AFSIC-IDS,78.57,78.57,60.4,83.21,78.57,61.22,78.57,78.57,53.92,73.32,1.090002,88.8496
1,19,49,AFSIC-IDS,78.72,78.72,60.73,83.99,78.72,61.29,78.72,78.72,54.05,73.63,1.078157,88.6429
1,20,50,AFSIC-IDS,91.05,91.05,64.65,93.47,91.05,66.66,91.05,91.05,61.63,91.38,1.066737,88.691
1,21,51,AFSIC-IDS,92.8,92.8,65.15,94.67,92.8,67.47,92.8,92.8,62.47,93.24,1.055845,88.7716
1,22,52,AFSIC-IDS,93.57,93.57,65.37,95.26,93.57,67.8,93.57,93.57,62.81,94.05,1.045019,88.8638
1,23,53,AFSIC-IDS,93.86,93.86,65.48,95.48,93.86,67.99,93.86,93.86,62.96,94.35,1.034634,88.9581
1,24,54,AFSIC-IDS,94.0,94.0,65.54,95.59,94.0,68.11,94.0,94.0,63.07,94.49,1.024515,89.0515
1,25,55,AFSIC-IDS,94.05,94.05,65.59,95.64,94.05,68.14,94.05,94.05,63.12,94.55,1.013837,89.1424
1,26,56,AFSIC-IDS,96.83,96.83,66.18,98.17,96.83,71.65,96.83,96.83,65.58,97.38,0.999871,96.83
1,27,57,AFSIC-IDS,96.81,96.81,66.15,98.15,96.81,71.48,96.81,96.81,65.5,97.36,0.989998,96.82
1,28,58,AFSIC-IDS,96.79,96.79,66.05,98.14,96.79,71.5,96.79,96.79,65.44,97.35,0.985711,96.81
1,29,59,AFSIC-IDS,96.78,96.78,65.85,98.13,96.78,71.55,96.78,96.78,65.34,97.33,0.984351,96.8025
1,30,60,AFSIC-IDS,96.76,96.76,65.66,98.12,96.76,71.59,96.76,96.76,65.23,97.32,0.983876,96.794
2,1,61,AFSIC-IDS,82.62,82.62,58.81,86.67,82.62,63.63,82.62,82.62,56.48,79.94,1.668702,94.4317
2,2,62,AFSIC-IDS,82.62,82.62,58.81,86.68,82.62,63.63,82.62,82.62,56.48,79.93,1.663407,92.7443
2,3,63,AFSIC-IDS,82.62,82.62,58.82,86.68,82.62,63.65,82.62,82.62,56.48,79.93,1.658147,91.4788
2,4,64,AFSIC-IDS,82.62,82.62,58.82,86.69,82.62,63.65,82.62,82.62,56.49,79.93,1.65287,90.4944
2,5,65,AFSIC-IDS,82.62,82.62,58.82,86.67,82.62,63.66,82.62,82.62,56.5,79.93,1.647664,89.707
2,6,66,AFSIC-IDS,82.62,82.62,58.82,86.67,82.62,63.65,82.62,82.62,56.5,79.92,1.642493,89.0627
2,7,67,AFSIC-IDS,82.62,82.62,58.82,86.65,82.62,63.66,82.62,82.62,56.5,79.91,1.63737,88.5258
2,8,68,AFSIC-IDS,82.62,82.62,58.81,86.63,82.62,63.66,82.62,82.62,56.51,79.91,1.632308,88.0715
2,9,69,AFSIC-IDS,82.62,82.62,58.81,86.64,82.62,63.65,82.62,82.62,56.51,79.91,1.627245,87.6821
2,10,70,AFSIC-IDS,82.62,82.62,58.82,86.64,82.62,63.66,82.62,82.62,56.52,79.91,1.622263,87.3447
2,11,71,AFSIC-IDS,82.62,82.62,58.82,86.63,82.62,63.66,82.62,82.62,56.52,79.91,1.617328,87.0494
2,12,72,AFSIC-IDS,82.62,82.62,58.82,86.63,82.62,63.66,82.62,82.62,56.52,79.91,1.612429,86.7888
2,13,73,AFSIC-IDS,82.62,82.62,58.82,86.62,82.62,63.65,82.62,82.62,56.52,79.91,1.607578,86.5572
2,14,74,AFSIC-IDS,82.63,82.63,58.82,86.62,82.63,63.66,82.63,82.63,56.53,79.92,1.602754,86.3505
2,15,75,AFSIC-IDS,82.63,82.63,58.83,86.63,82.63,63.66,82.63,82.63,56.53,79.92,1.597939,86.1645
2,16,76,AFSIC-IDS,82.63,82.63,58.84,86.65,82.63,63.67,82.63,82.63,56.54,79.93,1.593208,85.9962
2,17,77,AFSIC-IDS,82.63,82.63,58.84,86.63,82.63,63.68,82.63,82.63,56.55,79.92,1.588535,85.8432
2,18,78,AFSIC-IDS,82.64,82.64,58.85,86.66,82.64,63.68,82.64,82.64,56.55,79.93,1.583914,85.7039
2,19,79,AFSIC-IDS,82.64,82.64,58.84,86.65,82.64,63.66,82.64,82.64,56.55,79.94,1.579271,85.5762
2,20,80,AFSIC-IDS,82.64,82.64,58.85,86.65,82.64,63.67,82.64,82.64,56.56,79.94,1.574655,85.4588
2,21,81,AFSIC-IDS,82.64,82.64,58.85,86.65,82.64,63.67,82.64,82.64,56.56,79.94,1.570119,85.3504
2,22,82,AFSIC-IDS,82.64,82.64,58.85,86.66,82.64,63.67,82.64,82.64,56.57,79.95,1.56554,85.25
2,23,83,AFSIC-IDS,82.65,82.65,58.85,86.66,82.65,63.66,82.65,82.65,56.58,79.96,1.560993,85.1571
